,Company,TypeName,CPU_Frequency (GHz),RAM (GB),GPU_Company,Weight (kg),Price (Euro),Touchscreen,Ips,ppi,CPU,CPU_Tier,HDD,SSD,GPU_Tier,OS
0,Apple,Ultrabook,2.3,8,Intel,1.37,1339.69,0,1,226.98300468106115,Core i5,3,0,128,2,Mac
1,Apple,Ultrabook,1.8,8,Intel,1.34,898.94,0,0,127.67794013309688,Core i5,3,0,0,2,Mac
2,HP,Notebook,2.5,8,Intel,1.86,575.0,0,0,141.21199808219862,Core i5,3,0,256,2,Other
3,Apple,Ultrabook,2.7,16,AMD,1.83,2537.45,0,1,220.53462386625827,Core i7,4,0,512,2,Mac
4,Apple,Ultrabook,3.1,8,Intel,1.37,1803.6,0,1,226.98300468106115,Core i5,3,0,256,2,Mac
5,Acer,Notebook,3.0,4,AMD,2.1,400.0,0,0,100.45466986113651,A9-Series,1,500,0,2,Windows
6,Apple,Ultrabook,2.2,16,Intel,2.04,2139.97,0,1,220.53462386625827,Core i7,4,0,0,2,Mac
7,Apple,Ultrabook,1.8,8,Intel,1.34,1158.7,0,0,127.67794013309688,Core i5,3,0,0,2,Mac
8,Asus,Ultrabook,1.8,16,Nvidia,1.3,1495.0,0,0,157.3505121487356,Core i7,4,0,512,2,Windows
9,Acer,Ultrabook,1.6,8,Intel,1.6,770.0,0,1,157.3505121487356,Core i5,3,0,256,2,Windows
10,HP,Notebook,2.5,4,Intel,1.86,393.9,0,0,100.45466986113651,Core i5,3,500,0,2,Other
11,HP,Notebook,2.0,4,Intel,1.86,344.99,0,0,141.21199808219862,Core i3,2,500,0,2,Other
12,Apple,Ultrabook,2.8,16,AMD,1.83,2439.97,0,1,220.53462386625827,Core i7,4,0,256,2,Mac
13,Dell,Notebook,2.0,4,AMD,2.2,498.9,0,0,141.21199808219862,Core i3,2,0,256,2,Windows
14,Apple,Ultrabook,1.2,8,Intel,0.92,1262.4,0,1,226.41554716935852,Core M,2,0,256,2,Mac
15,Apple,Ultrabook,2.3,8,Intel,1.37,1518.55,0,1,226.98300468106115,Core i5,3,0,256,2,Mac
